"cap","totFake_ss","totFake_minCI_ss","totFake_maxCI_ss","totNon_ss","totNon_minCI_ss","totNon_maxCI_ss","totFake_reg","totFake_minCI_reg","totFake_maxCI_reg","totNon_reg","totNon_minCI_reg","totNon_maxCI_reg","fracFake_ss","fake_minCI_ss","fake_maxCI_ss","fracFake_reg","fake_minCI_reg","fake_maxCI_reg","fracNon_ss","non_minCI_ss","non_maxCI_ss","fracNon_reg","non_minCI_reg","non_maxCI_reg"
1,327.765,325.885,329.61025,3375.235,3373.384625,3377.005125,502.955,501.51475,504.235375,25295.045,25293.714375,25296.43525,0.0649682854311199,0.064595639246779,0.0653340436075322,0.446674067495559,0.445394982238011,0.447811167850799,0.0866111111111111,0.0865636290736464,0.0866565338722094,0.565454575937765,0.565424830665713,0.565485654088613
2,609.015,606.984,611.27,6291.985,6289.9145,6294.065375,707.7,706.379875,709.055,33320.3,33318.99475,33321.7005,0.120716551040634,0.120313974231913,0.121163528245788,0.628507992895204,0.627335590586146,0.629711367673179,0.161457146522966,0.161404015909674,0.16151053053631,0.744854026020477,0.744824847990343,0.744885333303527
3,861.31,858.939625,863.805125,8823.69,8821.2495,8826.297625,819.675,818.455,820.95525,37134.325,37133.06,37135.600125,0.170725470763132,0.170255624380575,0.171220044598612,0.727952930728242,0.72686944937833,0.729089920071048,0.226422632794457,0.226360007698229,0.226489546445984,0.83011411901462,0.83008584074753,0.830142623619618
4,1086.885,1084.204625,1089.37625,11066.115,11063.72925,11068.5755,889.585,888.369375,890.8,39287.415,39286.33975,39288.53525,0.215438057482656,0.214906764122894,0.215931863230922,0.790039964476021,0.788960368561279,0.791119005328597,0.283964973056197,0.283903752886836,0.284028111367719,0.878245070863325,0.878221034336299,0.878270113336612
5,1298.06,1295.419125,1300.470375,13053.94,13051.239625,13056.660375,940.98,939.889875,942.050125,40653.02,40651.959875,40654.050125,0.257296333002973,0.256772869177403,0.25777410802775,0.835683836589698,0.834715697158082,0.836634214031972,0.334974082627662,0.33490478894021,0.335043889530408,0.908772298475433,0.908748600058121,0.908795326261904
6,1482.61,1479.67975,1485.345375,14824.39,14821.644375,14827.26525,981.055,980.044875,982.060375,41567.945,41566.934875,41568.955,0.29387710604559,0.293296283448959,0.294419301288404,0.871274422735346,0.870377331261101,0.872167295737123,0.380405183474468,0.380334728637413,0.380478964588145,0.929224862520678,0.929202281821433,0.929247440425627
8,1810.915,1808.08375,1813.925625,17853.085,17850.1545,17855.920125,1031.88,1031.1645,1032.590125,42629.12,42628.44,42629.815,0.35895242814668,0.358391228939544,0.359549182358771,0.916412078152753,0.915776642984014,0.917042739786856,0.458123813189633,0.458048614318707,0.458196564665127,0.952946751911298,0.95293155094559,0.952962288192426
10,2092.485,2089.37375,2095.61125,20350.515,20347.49975,20353.4505,1060.86,1060.225,1061.475,43222.14,43221.524625,43222.745125,0.414764122893954,0.414147423191279,0.415383795837463,0.942149200710479,0.941585257548845,0.942695381882771,0.522209776751347,0.522132403130613,0.522285103926097,0.966203335270711,0.966189578955604,0.966216862453615
15,2658.405,2655.62475,2661.416125,25082.595,25079.709875,25085.690375,1094.44,1093.995,1094.910125,43949.56,43949.095,43950.03025,0.526938553022795,0.52638746283449,0.527535406342914,0.971971580817052,0.971576376554174,0.972389098579041,0.64363856812933,0.643564533615602,0.643717997818835,0.982464344793669,0.982453950015648,0.982474856932087
20,3079.225,3076.34975,3082.37525,28359.775,28356.6645,28362.666,1111.445,1111.114875,1111.815125,44272.555,44272.234875,44272.915,0.610351833498513,0.609781912784936,0.610976263627354,0.987073712255773,0.986780528419183,0.987402420071048,0.727733512958686,0.727653695150116,0.727807698229407,0.989684691733357,0.989677535543435,0.989692739303438
30,3654.39,3651.55875,3657.196125,32206.61,32203.758125,32209.26525,1123.175,1122.995,1123.345,44564.825,44564.644875,44565,0.724358771060456,0.72379757185332,0.724914990089197,0.997491119005329,0.997331261101243,0.997642095914743,0.826446240697973,0.82637305940467,0.826514376443418,0.996218200921,0.996214174341664,0.996222112934233
40,4036.91,4034.62925,4039.1605,34437.09,34434.884375,34439.2305,1126,1126,1126,44682,44682,44682,0.800180376610505,0.799728295341923,0.800626461843409,1,1,1,0.883682063125481,0.88362546510136,0.883736989992302,0.998837573210533,0.998837573210533,0.998837573210533
50,4302.93,4300.409875,4305.35575,35839.07,35836.60825,35841.43525,1126,1126,1126,44706,44706,44706,0.852909811694747,0.852410282457879,0.853390634291378,1,1,1,0.919657942006672,0.919594771619194,0.919718636130357,0.999374077882595,0.999374077882595,0.999374077882595
70,4619.135,4617.234625,4621.00575,37269.865,37268.014875,37271.675375,1126,1126,1126,44734,44734,44734,0.915586719524282,0.91521003468781,0.915957532210109,1,1,1,0.956373235822428,0.956325760200154,0.956419691429305,1,1,1
100,4837.76,4836.395,4839.15,38175.24,38173.8645,38176.550125,1126,1126,1126,44734,44734,44734,0.958921704658077,0.958651139742319,0.959197224975223,1,1,1,0.979605850654349,0.979570554272517,0.97963946946369,1,1,1
