from	to
nytimes.com	nytimes.com
cnn.com	cnn.com
washingtonpost.com	washingtonpost.com
huffingtonpost.com	huffingtonpost.com
politico.com	politico.com
thehill.com	thehill.com
abcnews.go.com	abcnews.go.com
nbcnews.com	nbcnews.com
npr.org	npr.org
slate.com	slate.com
wsj.com	wsj.com
newyorker.com	newyorker.com
twentytwowords.com	twentytwowords.com
time.com	time.com
buzzfeed.com	buzzfeed.com
bloomberg.com	bloomberg.com
apnews.com	apnews.com
thedailybeast.com	thedailybeast.com
cbsnews.com	cbsnews.com
theguardian.com	theguardian.com
vox.com	vox.com
theatlantic.com	theatlantic.com
mashable.com	mashable.com
motherjones.com	motherjones.com
latimes.com	latimes.com
reuters.com	reuters.com
usatoday.com	usatoday.com
money.cnn.com	cnn.com
bbc.co.uk	bbc.co.uk
hollywoodreporter.com	hollywoodreporter.com
fivethirtyeight.com	fivethirtyeight.com
yahoo.com	yahoo.com
economist.com	economist.com
foxnews.com	foxnews.com
bostonglobe.com	bostonglobe.com
nydailynews.com	nydailynews.com
businessinsider.com	businessinsider.com
thinkprogress.org	thinkprogress.org
forbes.com	forbes.com
nymag.com	nymag.com
salon.com	salon.com
cnbc.com	cnbc.com
wired.com	wired.com
perezhilton.com	perezhilton.com
rollingstone.com	rollingstone.com
newsweek.com	newsweek.com
talkingpointsmemo.com	talkingpointsmemo.com
vice.com	vice.com
go.cnn.com	cnn.com
dailykos.com	dailykos.com
fortune.com	fortune.com
variety.com	variety.com
rawstory.com	rawstory.com
pbs.org	pbs.org
nypost.com	nypost.com
breitbart.com	breitbart.com
thenation.com	thenation.com
vanityfair.com	vanityfair.com
usmagazine.com	usmagazine.com
blogs.wsj.com	wsj.com
esquire.com	esquire.com
mediamatters.org	mediamatters.org
ft.com	ft.com
independent.co.uk	independent.co.uk
usat.ly	usatoday.com
msnbc.com	msnbc.com
someecards.com	someecards.com
dailymail.co.uk	dailymail.co.uk
univision.com	univision.com
mediaite.com	mediaite.com
politicususa.com	politicususa.com
washingtonexaminer.com	washingtonexaminer.com
bbc.com	bbc.co.uk
insider.foxnews.com	foxnews.com
qz.com	qz.com
blogs.edweek.org	edweek.org
theintercept.com	theintercept.com
miamiherald.com	miamiherald.com
news.vice.com	vice.com
chicagotribune.com	chicagotribune.com
newrepublic.com	newrepublic.com
projects.fivethirtyeight.com	fivethirtyeight.com
aljazeera.com	aljazeera.com
boston.com	boston.com
nbc.com	nbc.com
wbur.org	wbur.org
marketwatch.com	marketwatch.com
wnyc.org	wnyc.org
democracynow.org	democracynow.org
boingboing.net	boingboing.net
foreignpolicy.com	foreignpolicy.com
washingtontimes.com	washingtontimes.com
breakingnews.com	breakingnews.com
rt.com	rt.com
philly.com	philly.com
today.com	today.com
video.foxnews.com	foxnews.com
mic.com	mic.com
wjla.com	wjla.com
finance.yahoo.com	yahoo.com
nbcnewyork.com	nbcnewyork.com
theslot.jezebel.com	theslot.jezebel.com
bizjournals.com	bizjournals.com
rollcall.com	rollcall.com
telegraph.co.uk	telegraph.co.uk
sfgate.com	sfgate.com
gizmodo.com	gizmodo.com
c-span.org	c-span.org
bossip.com	bossip.com
denverpost.com	denverpost.com
nationalreview.com	nationalreview.com
refinery29.com	refinery29.com
motto.time.com	motto.time.com
live.reuters.com	reuters.com
abc7news.com	abc7news.com
pennlive.com	pennlive.com
haaretz.com	haaretz.com
baltimoresun.com	baltimoresun.com
dailytoast.com	dailytoast.com
observer.com	observer.com
newsobserver.com	newsobserver.com
billmoyers.com	billmoyers.com
mcclatchydc.com	mcclatchydc.com
shareblue.com	shareblue.com
theconcourse.deadspin.com	theconcourse.deadspin.com
nytlive.nytimes.com	nytimes.com
opb.org	opb.org
theroot.com	theroot.com
wesh.com	wesh.com
theweek.com	theweek.com
6abc.com	6abc.com
oregonlive.com	oregonlive.com
charlotteobserver.com	charlotteobserver.com
nj.com	nj.com
realclearpolitics.com	realclearpolitics.com
twcnews.com	twcnews.com
philadelphia.cbslocal.com	philadelphia.cbslocal.com
hbr.org	hbr.org
azcentral.com	azcentral.com
ibtimes.com	ibtimes.com
orlandosentinel.com	orlandosentinel.com
uproxx.com	uproxx.com
wtop.com	wtop.com
nola.com	nola.com
brainpickings.org	brainpickings.org
alternet.org	alternet.org
edweek.org	edweek.org
sacbee.com	sacbee.com
reviewjournal.com	reviewjournal.com
