"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-95,11071,7862,2608,407325,2016-08-05,0.027179770453569,0.0193015405388817,0.00640274964708771,0.0528840606395385
-76,9478,8275,2386,419891,2016-08-24,0.0225725247742867,0.0197074955166936,0.00568242710608229,0.0479624473970626
2,13771,10922,2224,958011,2016-11-10,0.0143745739871463,0.0114007041672799,0.00232147647573984,0.028096754630166
9,10661,9070,2961,616945,2016-11-17,0.0172803086174618,0.0147014725785929,0.00479945538094968,0.0367812365770044
1,11943,10562,1782,1262925,2016-11-09,0.00945661856404775,0.00836312528455767,0.00141101015499733,0.0192307540036027
0,18334,13639,4847,1514602,2016-11-08,0.0121048301798096,0.00900500593555271,0.00320018064151506,0.0243100167568774
-74,11091,9826,1861,376652,2016-08-26,0.0294462793241507,0.0260877414695793,0.00494090035364209,0.0604749211473721
-41,12401,9433,3436,532036,2016-09-28,0.0233085731040757,0.0177300032328639,0.00645820959483945,0.0474967859317791
-40,11892,8990,2691,500809,2016-09-29,0.0237455796521229,0.0179509553542368,0.00537330599090671,0.0470698409972664
20,6472,5710,1864,394197,2016-11-28,0.0164181868456635,0.0144851432151944,0.00472860016692162,0.0356319302277795
4,12122,7611,3369,496662,2016-11-12,0.0244069407363559,0.0153243050605845,0.00678328521207582,0.0465145310090162
-22,17571,15580,5091,597045,2016-10-17,0.0294299424666482,0.0260951854550327,0.00852699545260407,0.064052123374285
-96,10832,9004,2325,475179,2016-08-04,0.0227956201768176,0.0189486488249691,0.00489289299400857,0.0466371619957953
-59,7625,5576,2332,269183,2016-09-10,0.028326454493783,0.0207145324927651,0.00866325139403305,0.0577042383805812
-25,17642,11787,4935,609966,2016-10-14,0.0289229235727893,0.0193240278966369,0.00809061488673139,0.0563375663561576
-19,18902,12322,5494,709572,2016-10-20,0.0266385934056023,0.0173653977327178,0.00774269559678229,0.0517466867351023
-5,20738,16254,5912,805901,2016-11-03,0.025732689250913,0.0201687304023695,0.00733588865133559,0.0532373083046181
-36,13439,10051,3645,497084,2016-10-03,0.0270356720393334,0.0202199225885363,0.00733276468363496,0.0545883593115047
-27,18181,14911,5345,648290,2016-10-12,0.0280445479646455,0.023000509031452,0.00824476700242176,0.0592898239985192
8,12834,10049,2675,641616,2016-11-16,0.0200026183885689,0.0156620159098277,0.00416916037006558,0.0398337946684621
12,8044,5741,2305,396752,2016-11-20,0.020274629995564,0.0144699963705287,0.00580967455740614,0.0405543009234988
-58,9619,6786,2284,302557,2016-09-11,0.0317923564815886,0.0224288315920636,0.0075489907686816,0.0617701788423338
-20,20548,15894,5443,981907,2016-10-19,0.0209266254339769,0.0161868690212006,0.00554329483342109,0.0426567892885986
-2,19622,13051,5743,615660,2016-11-06,0.0318714875093396,0.0211983887210473,0.00932820063021798,0.0623980768606049
13,9311,8164,2301,571673,2016-11-21,0.0162872831146477,0.0142808913487256,0.00402502829414718,0.0345932027575205
28,7472,5397,1564,417424,2016-12-06,0.0179002644792825,0.0129292997048565,0.00374678983479627,0.0345763540189352
