"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
-95,0,0,5481,407325,2016-08-05,0,0,0.0134560854354631,0.0134560854354631
-76,0,0,5952,419891,2016-08-24,0,0,0.0141751073492883,0.0141751073492883
2,0,0,8253,958011,2016-11-10,0,0,0.00861472363052199,0.00861472363052199
9,0,0,6090,616945,2016-11-17,0,0,0.00987122028705962,0.00987122028705962
1,0,0,6945,1262925,2016-11-09,0,0,0.00549913890373538,0.00549913890373538
0,0,0,11477,1514602,2016-11-08,0,0,0.00757756823244654,0.00757756823244654
-74,0,0,5358,376652,2016-08-26,0,0,0.0142253326678207,0.0142253326678207
-41,0,0,6423,532036,2016-09-28,0,0,0.0120724913351728,0.0120724913351728
-40,0,0,5564,500809,2016-09-29,0,0,0.0111100239811984,0.0111100239811984
20,0,0,3132,394197,2016-11-28,0,0,0.00794526594570735,0.00794526594570735
4,0,0,7775,496662,2016-11-12,0,0,0.0156545095054584,0.0156545095054584
-22,0,0,10800,597045,2016-10-17,0,0,0.0180890887621536,0.0180890887621536
-96,0,0,5313,475179,2016-08-04,0,0,0.0111810496675989,0.0111810496675989
-59,0,0,5240,269183,2016-09-10,0,0,0.0194663110226129,0.0194663110226129
-25,0,0,10572,609966,2016-10-14,0,0,0.0173321135932167,0.0173321135932167
-19,0,0,12442,709572,2016-10-20,0,0,0.0175345137632263,0.0175345137632263
-5,0,0,11363,805901,2016-11-03,0,0,0.0140997467430863,0.0140997467430863
-36,0,0,6396,497084,2016-10-03,0,0,0.0128670405806664,0.0128670405806664
-27,0,0,11162,648290,2016-10-12,0,0,0.017217603233121,0.017217603233121
8,0,0,5405,641616,2016-11-16,0,0,0.00842404179446897,0.00842404179446897
12,0,0,5321,396752,2016-11-20,0,0,0.0134114005726499,0.0134114005726499
-58,0,0,5475,302557,2016-09-11,0,0,0.0180957637734377,0.0180957637734377
-20,0,0,12907,981907,2016-10-19,0,0,0.0131448293983035,0.0131448293983035
-2,0,0,9928,615660,2016-11-06,0,0,0.016125783711789,0.016125783711789
13,0,0,4226,571673,2016-11-21,0,0,0.00739233792745153,0.00739233792745153
28,0,0,3622,417424,2016-12-06,0,0,0.0086770286327571,0.0086770286327571
-24,0,0,11550,401225,2016-10-15,0,0,0.0287868403015764,0.0287868403015764
-14,0,0,11364,542889,2016-10-25,0,0,0.020932455805883,0.020932455805883
5,0,0,8532,482801,2016-11-13,0,0,0.0176718772330629,0.0176718772330629
-43,0,0,6843,950875,2016-09-26,0,0,0.00719652951229131,0.00719652951229131
-30,0,0,9753,820429,2016-10-09,0,0,0.0118876831511319,0.0118876831511319
3,0,0,7848,754937,2016-11-11,0,0,0.0103955694316214,0.0103955694316214
-44,0,0,6067,324868,2016-09-25,0,0,0.0186752773434133,0.0186752773434133
-51,0,0,6889,301455,2016-09-18,0,0,0.0228524987145677,0.0228524987145677
-10,0,0,10314,392328,2016-10-29,0,0,0.0262892273811709,0.0262892273811709
-9,0,0,13167,439622,2016-10-30,0,0,0.0299507304002075,0.0299507304002075
-6,0,0,10746,691969,2016-11-02,0,0,0.0155295974241621,0.0155295974241621
-12,0,0,11322,597617,2016-10-27,0,0,0.0189452441948606,0.0189452441948606
-4,0,0,12068,828291,2016-11-04,0,0,0.0145697586959173,0.0145697586959173
-8,0,0,10648,571550,2016-10-31,0,0,0.0186300411162628,0.0186300411162628
-21,0,0,11218,654855,2016-10-18,0,0,0.0171305098075146,0.0171305098075146
21,0,0,3617,507965,2016-11-29,0,0,0.00712056933056411,0.00712056933056411
