"ts_rel_days","red","orange","black","N","date","pct_red","pct_orange","pct_black","pct_fake"
0,57,45,20,2769,2016-11-08,0.0205850487540628,0.0162513542795233,0.00722282412423257,0.0440592271578187
8,3,6,2,299,2016-11-16,0.0100334448160535,0.020066889632107,0.00668896321070234,0.0367892976588629
-89,11,14,33,597,2016-08-11,0.0184254606365159,0.0234505862646566,0.0552763819095477,0.0971524288107203
13,7,7,1,706,2016-11-21,0.00991501416430595,0.00991501416430595,0.00141643059490085,0.0212464589235127
20,10,8,6,530,2016-11-28,0.0188679245283019,0.0150943396226415,0.0113207547169811,0.0452830188679245
9,22,26,8,1106,2016-11-17,0.0198915009041591,0.0235081374321881,0.00723327305605787,0.0506329113924051
22,8,7,0,589,2016-11-30,0.0135823429541596,0.0118845500848896,0,0.0254668930390492
2,29,23,6,1787,2016-11-10,0.0162283156127588,0.012870733072188,0.00335758254057079,0.0324566312255176
3,20,16,8,1449,2016-11-11,0.0138026224982747,0.0110420979986197,0.00552104899930987,0.0303657694962043
14,3,6,0,261,2016-11-22,0.0114942528735632,0.0229885057471264,0,0.0344827586206897
-7,37,46,26,1259,2016-11-01,0.0293884034948372,0.0365369340746624,0.0206513105639396,0.0865766481334392
-93,20,14,28,437,2016-08-07,0.045766590389016,0.0320366132723112,0.0640732265446224,0.14187643020595
1,18,33,3,2384,2016-11-09,0.0075503355704698,0.0138422818791946,0.00125838926174497,0.0226510067114094
6,26,17,12,1251,2016-11-14,0.0207833733013589,0.0135891286970424,0.00959232613908873,0.04396482813749
10,20,8,4,989,2016-11-18,0.0202224469160768,0.00808897876643074,0.00404448938321537,0.032355915065723
-9,39,37,39,955,2016-10-30,0.0408376963350785,0.0387434554973822,0.0408376963350785,0.120418848167539
-33,47,28,17,812,2016-10-06,0.0578817733990148,0.0344827586206897,0.020935960591133,0.113300492610837
-68,16,10,4,523,2016-09-01,0.0305927342256214,0.0191204588910134,0.00764818355640535,0.0573613766730402
-49,14,14,3,648,2016-09-20,0.0216049382716049,0.0216049382716049,0.00462962962962963,0.0478395061728395
-30,12,22,11,1305,2016-10-09,0.00919540229885057,0.0168582375478927,0.00842911877394636,0.0344827586206897
12,12,21,5,725,2016-11-20,0.016551724137931,0.0289655172413793,0.00689655172413793,0.0524137931034483
-11,45,30,23,1085,2016-10-28,0.0414746543778802,0.0276497695852535,0.0211981566820276,0.0903225806451613
17,13,19,5,646,2016-11-25,0.0201238390092879,0.0294117647058824,0.00773993808049536,0.0572755417956656
-81,9,28,7,485,2016-08-19,0.0185567010309278,0.0577319587628866,0.0144329896907217,0.0907216494845361
-85,17,7,18,564,2016-08-15,0.0301418439716312,0.0124113475177305,0.0319148936170213,0.074468085106383
-60,9,12,3,575,2016-09-09,0.0156521739130435,0.0208695652173913,0.00521739130434783,0.0417391304347826
-67,18,17,7,607,2016-09-02,0.0296540362438221,0.028006589785832,0.0115321252059308,0.0691927512355848
-97,0,0,1,183,2016-08-03,0,0,0.00546448087431694,0.00546448087431694
-12,32,28,23,958,2016-10-27,0.0334029227557411,0.0292275574112735,0.0240083507306889,0.0866388308977036
-96,5,10,5,576,2016-08-04,0.00868055555555556,0.0173611111111111,0.00868055555555556,0.0347222222222222
-92,29,10,9,557,2016-08-08,0.052064631956912,0.0179533213644524,0.0161579892280072,0.0861759425493716
-39,30,23,16,816,2016-09-30,0.0367647058823529,0.0281862745098039,0.0196078431372549,0.0845588235294118
-43,32,44,3,2060,2016-09-26,0.0155339805825243,0.0213592233009709,0.00145631067961165,0.0383495145631068
11,12,9,10,892,2016-11-19,0.0134529147982063,0.0100896860986547,0.0112107623318386,0.0347533632286995
-25,41,23,23,1012,2016-10-14,0.0405138339920949,0.0227272727272727,0.0227272727272727,0.0859683794466403
-53,29,43,8,876,2016-09-16,0.0331050228310502,0.0490867579908676,0.0091324200913242,0.091324200913242
-46,12,10,8,770,2016-09-23,0.0155844155844156,0.012987012987013,0.0103896103896104,0.038961038961039
-47,22,19,11,830,2016-09-22,0.0265060240963855,0.0228915662650602,0.0132530120481928,0.0626506024096385
-40,29,16,7,921,2016-09-29,0.0314875135722041,0.0173724212812161,0.00760043431053203,0.0564603691639522
4,9,7,7,805,2016-11-12,0.0111801242236025,0.00869565217391304,0.00869565217391304,0.0285714285714286
-90,7,9,8,602,2016-08-10,0.0116279069767442,0.0149501661129568,0.0132890365448505,0.0398671096345515
-21,81,54,30,1426,2016-10-18,0.0568022440392707,0.0378681626928471,0.0210378681626928,0.115708274894811
-35,53,32,20,1482,2016-10-04,0.0357624831309042,0.0215924426450742,0.0134952766531714,0.0708502024291498
-32,6,5,2,382,2016-10-07,0.0157068062827225,0.0130890052356021,0.00523560209424084,0.0340314136125654
-31,45,31,12,1048,2016-10-08,0.0429389312977099,0.0295801526717557,0.0114503816793893,0.083969465648855
-91,22,14,34,624,2016-08-09,0.0352564102564103,0.0224358974358974,0.0544871794871795,0.112179487179487
15,9,8,3,779,2016-11-23,0.0115532734274711,0.0102695763799743,0.00385109114249037,0.0256739409499358
-8,56,45,29,1306,2016-10-31,0.0428790199081164,0.0344563552833078,0.0222052067381317,0.0995405819295559
-44,14,10,10,577,2016-09-25,0.024263431542461,0.0173310225303293,0.0173310225303293,0.0589254766031196
