"category","percentage_of_total","cumulative_percentage"
"Black",0.00584795321637427,0.123517779523933
"Black",0.0116959064327485,0.197401499846882
"Black",0.0175438596491228,0.270549302896428
"Black",0.0233918128654971,0.335162839501191
"Black",0.0292397660818713,0.380566561343453
"Black",0.0350877192982456,0.425018338583668
"Black",0.0409356725146199,0.467938933109868
"Black",0.0467836257309941,0.506277849127463
"Black",0.0526315789473684,0.541630365371057
"Black",0.0584795321637427,0.574601833146189
"Black",0.064327485380117,0.606495538204789
"Black",0.0701754385964912,0.634446151033964
"Black",0.0760233918128655,0.661895865331887
"Black",0.0818713450292398,0.689319466436238
"Black",0.087719298245614,0.716595884085908
"Black",0.0935672514619883,0.742647355564365
"Black",0.0994152046783626,0.767635307886422
"Black",0.105263157894737,0.785408897002443
"Black",0.111111111111111,0.802311255023822
"Black",0.116959064327485,0.815887741754759
"Black",0.12280701754386,0.82842207466949
"Black",0.128654970760234,0.840106541829775
"Black",0.134502923976608,0.85045923611787
"Black",0.140350877192982,0.859432679000007
"Black",0.146198830409357,0.866998383355925
"Black",0.152046783625731,0.87399197137994
"Black",0.157894736842105,0.880501278359522
"Black",0.16374269005848,0.887008211412415
"Black",0.169590643274854,0.893156681535361
"Black",0.175438596491228,0.898968054068554
"Black",0.181286549707602,0.904162205662765
"Black",0.187134502923977,0.909318374429961
"Black",0.192982456140351,0.914384333982998
"Black",0.198830409356725,0.919367206101941
"Black",0.204678362573099,0.923894284296712
"Black",0.210526315789474,0.928345396837455
"Black",0.216374269005848,0.932637456290075
"Black",0.222222222222222,0.936578174592812
"Black",0.228070175438596,0.940098707871703
"Black",0.233918128654971,0.943616867223906
"Black",0.239766081871345,0.946835911813371
"Black",0.245614035087719,0.950016973575822
"Black",0.251461988304094,0.952706632513775
"Black",0.257309941520468,0.955265725483866
"Black",0.263157894736842,0.957409381283487
"Black",0.269005847953216,0.959372618654791
"Black",0.274853801169591,0.961169681157906
"Black",0.280701754385965,0.962957247954269
"Black",0.286549707602339,0.964671223023291
"Black",0.292397660818713,0.966162048983603
"Black",0.298245614035088,0.967636257457097
"Black",0.304093567251462,0.969020256716432
"Black",0.309941520467836,0.970390012415637
"Black",0.315789473684211,0.971695672094254
"Black",0.321637426900585,0.972944357532351
"Black",0.327485380116959,0.974166929776875
"Black",0.333333333333333,0.97538712809471
"Black",0.339181286549708,0.976495751858191
"Black",0.345029239766082,0.977590132061542
"Black",0.350877192982456,0.978665520851385
"Black",0.35672514619883,0.97961983938012
"Black",0.362573099415205,0.980574157908855
"Black",0.368421052631579,0.98151423287746
"Black",0.374269005847953,0.98237359433866
"Black",0.380116959064327,0.983171233705961
"Black",0.385964912280702,0.983819315691893
"Black",0.391812865497076,0.984441284484253
"Black",0.39766081871345,0.985049009716482
"Black",0.403508771929825,0.985640117461893
"Black",0.409356725146199,0.986231225207303
"Black",0.415204678362573,0.986774854418946
"Black",0.421052631578947,0.987299492217081
"Black",0.426900584795322,0.987821756088529
"Black",0.432748538011696,0.988341646033287
"Black",0.43859649122807,0.988830674931097
"Black",0.444444444444444,0.98931495597553
"Black",0.450292397660819,0.989794489166586
"Black",0.456140350877193,0.990274022357642
"Black",0.461988304093567,0.990746433768632
"Black",0.467836257309941,0.991180862352609
"Black",0.473684210526316,0.99160816915652
"Black",0.47953216374269,0.992025980253678
"Black",0.485380116959064,0.992441417424147
"Black",0.491228070175439,0.992854480667928
"Black",0.497076023391813,0.993182082550927
"Black",0.502923976608187,0.993483571240353
"Black",0.508771929824561,0.993749451029453
"Black",0.514619883040936,0.993998713331735
"Black",0.52046783625731,0.99424322778064
"Black",0.526315789473684,0.994487742229545
"Black",0.532163742690059,0.994729882751761
"Black",0.538011695906433,0.994957779713847
"Black",0.543859649122807,0.995176180969179
"Black",0.549707602339181,0.995392208297823
"Black",0.555555555555556,0.995608235626467
"Black",0.56140350877193,0.995817141175046
"Black",0.567251461988304,0.99601892494356
"Black",0.573099415204678,0.996218334785385
"Black",0.578947368421053,0.996412996773834
"Black",0.584795321637427,0.996605284835594
"Black",0.590643274853801,0.99677383363047
"Black",0.596491228070175,0.996940008498657
"Black",0.60233918128655,0.997106183366845
"Black",0.608187134502924,0.997260488601591
"Black",0.614035087719298,0.997412419909648
"Black",0.619883040935672,0.997547733730887
"Black",0.625730994152047,0.997683047552125
"Black",0.631578947368421,0.997813613519987
"Black",0.637426900584795,0.997944179487849
"Black",0.64327485380117,0.998069997602334
"Black",0.649122807017544,0.998191067863442
"Black",0.654970760233918,0.998305016344485
"Black",0.660818713450292,0.998418964825528
"Black",0.666666666666667,0.998530539379883
"Black",0.672514619883041,0.998637366080861
"Black",0.678362573099415,0.998739444928462
"Black",0.684210526315789,0.998834401995998
"Black",0.690058479532164,0.998924611210157
"Black",0.695906432748538,0.999005324717562
"Black",0.701754385964912,0.999078916444902
"Black",0.707602339181287,0.999145386392177
"Black",0.713450292397661,0.999209482412764
"Black",0.719298245614035,0.99925933487322
"Black",0.725146198830409,0.999306813406988
"Black",0.730994152046784,0.999354291940756
"Black",0.736842105263158,0.999399396547836
"Black",0.742690058479532,0.999442127228227
"Black",0.748538011695906,0.999480110055241
"Black",0.754385964912281,0.999515718955567
"Black",0.760233918128655,0.999551327855893
"Black",0.766081871345029,0.999584562829531
"Black",0.771929824561403,0.99961542387648
"Black",0.777777777777778,0.999646284923429
"Black",0.783625730994152,0.999672398117001
"Black",0.789473684210526,0.999698511310574
"Black",0.795321637426901,0.999724624504146
"Black",0.801169590643275,0.999750737697718
"Black",0.807017543859649,0.999774476964602
"Black",0.812865497076023,0.999791094451421
"Black",0.818713450292398,0.99980771193824
"Black",0.824561403508772,0.999824329425059
"Black",0.830409356725146,0.999838572985189
"Black",0.83625730994152,0.999850442618631
"Black",0.842105263157895,0.999862312252073
"Black",0.847953216374269,0.999874181885515
"Black",0.853801169590643,0.999886051518957
"Black",0.859649122807018,0.999895547225711
"Black",0.865497076023392,0.999905042932464
"Black",0.871345029239766,0.999914538639218
"Black",0.87719298245614,0.999921660419283
"Black",0.883040935672515,0.999928782199348
"Black",0.888888888888889,0.999935903979413
"Black",0.894736842105263,0.99994065183279
"Black",0.900584795321637,0.999945399686167
"Black",0.906432748538012,0.999950147539544
"Black",0.912280701754386,0.99995489539292
"Black",0.91812865497076,0.999959643246297
"Black",0.923976608187134,0.999964391099674
"Black",0.929824561403509,0.999969138953051
"Black",0.935672514619883,0.999973886806428
"Black",0.941520467836257,0.999976260733116
"Black",0.947368421052632,0.999978634659804
"Black",0.953216374269006,0.999981008586493
"Black",0.95906432748538,0.999983382513181
"Black",0.964912280701754,0.99998575643987
"Black",0.970760233918129,0.999988130366558
"Black",0.976608187134503,0.999990504293246
"Black",0.982456140350877,0.999992878219935
"Black",0.988304093567251,0.999995252146623
"Black",0.994152046783626,0.999997626073312
"Black",1,1
"Orange",0.0178571428571429,0.34742387811988
"Orange",0.0357142857142857,0.455069046960444
"Orange",0.0535714285714286,0.525595250760687
"Orange",0.0714285714285714,0.581316254228993
"Orange",0.0892857142857143,0.633691512224185
"Orange",0.107142857142857,0.680905589718493
"Orange",0.125,0.716999808498415
"Orange",0.142857142857143,0.744549652105454
"Orange",0.160714285714286,0.771663723216376
"Orange",0.178571428571429,0.797595591207949
"Orange",0.196428571428571,0.822150350022342
"Orange",0.214285714285714,0.844331340298317
"Orange",0.232142857142857,0.864044087920506
"Orange",0.25,0.878930144477307
"Orange",0.267857142857143,0.893560014469009
"Orange",0.285714285714286,0.907650275549503
"Orange",0.303571428571429,0.921330297678575
"Orange",0.321428571428571,0.933337872630168
"Orange",0.339285714285714,0.944816052088431
"Orange",0.357142857142857,0.955354597101943
"Orange",0.375,0.961962678468838
"Orange",0.392857142857143,0.968343511287955
"Orange",0.410714285714286,0.97368768219248
"Orange",0.428571428571429,0.97848969083133
"Orange",0.446428571428571,0.982436325722919
"Orange",0.464285714285714,0.985262038002426
"Orange",0.482142857142857,0.987260463433836
"Orange",0.5,0.988882694640083
"Orange",0.517857142857143,0.990463221056663
"Orange",0.535714285714286,0.992042896355086
"Orange",0.553571428571429,0.993250633019129
"Orange",0.571428571428571,0.994297508351597
"Orange",0.589285714285714,0.99499031853097
"Orange",0.607142857142857,0.995643126156989
"Orange",0.625,0.996152945932719
"Orange",0.642857142857143,0.996621912036939
"Orange",0.660714285714286,0.997064493478307
