id	date_created	name	screen_name	location	nameHandleWords
101000000	2015-01-06	*bibin*	binarbibinwiyar	bandung	bibin binar wiyar bibinwiyar
101000001	2015-01-06	name. sabir 			name sabir 
101000002	2015-01-06	sam undercuffler	samunder34		sam undercuffler under
101000003	2015-01-06	nadia fradita	NadiaFradita	Bukittinggi	nadia fradita 
101000004	2015-01-06	七夕	yurikaniT		qi xi yurikanit
101000005	2015-01-06	Sabri Chandia	SabriChandia		sabri chandia 
101000006	2015-01-06	ていく	yuzukitake		teiku yuzukitake
101000007	2015-01-06	oğuzhan yileç	oyilec		oguzhan yilec 
101000008	2015-01-06	Lorenzo Recio	leprechaun2012		lorenzo recio eprechaun leprechaun
101000009	2015-01-06	Angel Gutierrez	AngelGu39440956	Jojutla Morelos Mexico	angel gutierrez gu
101000010	2015-01-06	Glenda primera 	GlendaPrimera		glenda primera 
101000011	2015-01-06	Rini Nova Sari	novANGELS1004	Indonesia	rini nova sari ngels novangels
101000012	2015-01-06	Jennifer Nguyen	jennhnguyen	Nashville, TN	jennifer nguyen ennh jennh
101000013	2015-01-06	Monarch Beatz	MyBeatPalace	Your Beat Folder	monarch beatz palace my beat
101000014	2015-01-06	Tumelo	Lebeta_De_III	Pretoria, South Africa	tumelo lebeta iii de
101000015	2015-01-06	Gotti	KingZell215	Uptown U.S.A.	gotti king zell
101000016	2015-01-06	Caruel De Lmrc Lee	thereallee33		caruel de lmrc lee thereal
101000017	2015-01-06	koray akbaş	korayakbas	kıbrıs	koray akbas 
101000018	2015-01-06	Jae Hee Kim	Riliekim		jae hee kim rilie
101000019	2015-01-06	SaiThatLowe	JustBLUIt	Traveling Prolly	saithatlowe sai that lowe just it
101000020	2015-01-06	ナナハタ	amakusa_kikyo		nanahata amakusa kikyo
101000021	2015-01-06	hawkins_girl	kyla_stjohn		hawkins girl stjohn kyla
101000022	2015-01-06	ナ    ン	natuparm		na tuparm natuparm
101000023	2015-01-06	ريميه محمد آل الشيخ	Alshaikh_r	Kingdom of Saudi Arabia	rymyh mhmd al alshykh shaikh alshaikh
101000024	2015-01-06	andri_R Tamaka	andri_RTamaka	Jakarta	andri tamaka 
101000025	2015-01-06	Michelle Kuzdzal	msek1468		michelle kuzdzal sek msek
101000026	2015-01-06	Wasabi Towers 	ALOHASAYURI		wasabi towers alohasayuri
101000027	2015-01-06	Pickel Fickle	pickelfickle	London	pickel fickle 
101000028	2015-01-06	Josuandres	josueand04	Callao, Peru	josuandres osueand josueand
101000029	2015-01-06	Patricia Nergino	PatriciaNergin0	Codó	patricia nergino nergin
101000030	2015-01-06	Aj Levendusky	A_Leven10		aj levendusky leven
