Politifact	Politifact_Ranking
24wpn.com	Fake news
247NewsMedia.com	Fake news
AmericanFlavor.news	Fake news
AmericanPeopleNetwork.com	Fake news
AmericanPoliticNews.co	Fake news
AmericanPresident.co	Fake news
AMPosts.com	Fake news
ANews24.org	Fake news
AngryPatriotMovement.com	Fake news
Anonjekloy.tk	Fake news
BB4SP.com	Fake news
BeforeItsNews.com	Fake news
BlueVision.news	Fake news
BlueVisionPost.com	Fake news
BuzzFeedUSA.com	Fake news
ChristianToday.info	Fake news
CivicTribune.com	Fake news
ClashDaily.com	Fake news
ConservativeDailyPost.com	Fake news
ConservativeFlashNews.com	Fake news
ConservativeInfoCorner.com	Fake news
ConservativeSpirit.com	Fake news
DailyInfoBox.com	Fake news
DailyNewsPosts.info	Fake news
DailySurge.com	Fake news
DailyUSAUpdate.com	Fake news
DamnLeaks.com	Fake news
DemocraticMoms.com	Fake news
DepartedMedia.com	Fake news
Disclose.tv	Fake news
DIYHours.net	Fake news
DonaldTrumpPOTUS45.com	Fake news
En-Volve.com	Fake news
ENHLive.com	Fake news
FederalistTribune.com	Fake news
FedsAlert.com	Fake news
FlashNewsCorner.com	Fake news
FocusNews.info	Fake news
FreedomDaily.com	Fake news
FreedomCrossroads.us	Fake news
FreedomsFinalStand.com	Fake news
FreshDailyReport.com	Fake news
GiveMeLiberty01.com	Fake news
GlobalPoliticsNow.com	Fake news
GummyPost.com	Fake news
HealthyWorldHouse.com	Fake news
InterestingDailyNews.com	Fake news
IsThatLegit.com	Fake news
Konkonsagh.biz	Fake news
LadyLibertysNews.com	Fake news
LastDeplorables.com	Fake news
Liberty-Courier.com	Fake news
LiberalPlug.com	Fake news
LibertyAlliance.com	Fake news
MadWorldNews.com	Fake news
MajorThoughts.com	Fake news
MetropolitanWorlds.com	Fake news
NeonNettle.com	Fake news
Nephef.com	Fake news
NewPoliticsToday.com	Fake news
NewsBreaksHere.com	Fake news
NewsBreakingsPipe.com	Fake news
NewsBySquad.com	Fake news
NewsExaminer.net	Fake news
NewsLeak.co	Fake news
NewsJustForYou1.blogspot.com	Fake news
NewzMagazine.com	Fake news
NotAllowedTo.com	Fake news
OccupyDemocrats.com	Fake news
OnePoliticalPlaza.com	Fake news
OpenMagazines.com	Fake news
PoliticsUSANews.com	Fake news
President45DonaldTrump.com	Fake news
Prntly.com	Fake news
