domain	Annotation #1	Annotation #2	Annotation #3	Final	Justification	# of snopes articles
100percentfedup.com	Red	Red		Red	The site publishes major falsehood to advance their political agenda with little regard for the facts. Articles seem to be fabricated in order to insight fear or increase partisan divide. NOTE: Sometimes has an author, most of the time the article is by "100% Fed up"	3
2ndvote.com	Orange	Yellow		Orange	The site publishes major falsehood to advance their political agenda against liberal corporations, while promoting their own financial interests by featuring a store. 	1
activistpost.com	Orange	Red		Red	Large fabrications, Anti-vaxx and anti GMO sentiments, and sensationalism (Example article title "Mainstream Science Now Resembles CIA Mind Control Programs to Wipe Memories".)	1
addictinginfo.org	Yellow	Orange		Yellow	Low-quality editorial process with partisan articles and particularly malevolent articles (Example article titles "Trump Is Trying To Make It Illegal For Groups Of People He’s Screwed To Sue Him"; "Even After Charlottesville, If You Hit Protesters With A Car, Republicans Want To Protect You").	1
afa.net	Yellow	Red		Orange	LBGTQ misinformation (Example article tite: "Yes, Gay Activists Want to Punish Christian Conservatives"). Conservative religious association that organizes members around conservative beliefs. Facts are sometimes lacking context, but not overly distorted	1
afp.com	Green	Yellow		Green	Large news agency with factual and sourced reporting. They seem to issue corrections and the article in question is no longer available.	1
ahtribune.com	Orange	Orange		Orange	Mostly factual reporting combined with sensationalism. Several major distortions led to the classification of Orange. Many partisan claims framed as opinion, but often makes unsubstantiated claims e.g. (Example article title: "It is no secret that the mainstream media and US intelligence work hand in hand on behalf of corporate interests.")	1
allenbwest.com	Red	Red		Red	Allen West is a former member of the U.S. House of Representatives. However, his site is full of scare mongering (e.g. "You haven't heard the SCARIEST thing about today's eclipse"), and partisan clickbait (e.g. What 'Mad Dog' Mattis just told sailers is causing a feminist MELTDOWN."). After examining 4 additional majorly false stories from this site in Snopes (see below) we find it as having little regard for the truth: http://www.snopes.com/ford-motors-funds-black-lives-matter/, http://www.snopes.com/2016/08/08/michael-phelps-wasnt-forced-out-of-flag-bearer-role-in-rio/, http://www.snopes.com/john-kerry-iranian-son-law/, http://www.snopes.com/2015/06/29/allen-west-gay-marriage/	2
amazon.com	Green	Green		Green	Not a news site, e-commerce.	2
americannews.com	Red	Red		Red	Multiple incidents of fabricated and/or severly distorted stories. Almost every article is clickbait (Example article titles "Antifa attacks a jail, then does something that ought to concern every american", "CNN anchor makes scandalour claim...", "Coup inside white house started to remove Trump...The leader's identity will shock you".)	3
americantoday.news	Red	Red		Red	Major falsehoods, combined with hyper-partisan world view that's bordering conspiracy with little regard for the truth. Clickbait (Example article title: "Senator who called for Trump's  assassination just did something no-one expected!") and conspiratorial articles "Clinton Foundation Shipping Manifest Proves DEADLY Conspiracy Against Trump"	1
americasfreedomfighters.com	Red	Red		Red	Multiple incidents of fabricated and/or severly distorted stories. Sensationalist clickbait.  (Example article title: "BREAKING: Major  ECLIPSE WARNING… Spread This With EVERYONE") and major fabrications.	2
anonews.co	Red	Red		Red	Conspiratorial (Example article title:"Intriguing ‘Eclipse Like’ Crop Circle Shows Up In Essex. Reported Just Days Before Solar Eclipse", and there is a disclaimed "while we endeavor to keep the information up to date and correct, we make no representations or warranties of any kind, express or implied, about  the completeness, accuracy, reliability, suitability or availability with respect to the website or the information...". Feature conspiracy theory stories on a regular basis.	1
anonhq.com	Red	Red		Red	Feature conspiracy theory stories and major falsehoods (Example article title: (N/ASA Detects Strange Big Rock En Route to Earth, Conspiracy Theorist Says it Will...").	3
awarenessact.com	Orange	Orange		Orange	Some articles are well referenced with reputable scientific studies, while others make claims without verification (Example article tite "Suppressing emotions causes memory loss and wrinkles."). Feature conspiracy theory stories and major falsehoods.	1
awm.com	Yellow	Yellow		Yellow	Mostly opinion based, but a few inaccuracies (e.g. "People All Over Are Putting Butter In Their Coffee, Here’s How It Can Actually Save Your Life" ). Clickbait site that covers "shocking" stories with some conservative tilt, but the facts are not severe distorted.	2
babylonbee.com	Satire	Satire		Satire	This Christian satire site has mostly benign articles (Example article title: "5 signs you might actually be a Russian spy", and "Feminist dismisses bible as Godsplaining".). The site states its satire nature at the end of every article. Articles seemed obviously satire, but can perhaps mislead people on rare occasions. We did not identify a clear political agenda behind it, thus will to code as yellow-satire.	1
barenakedislam.com	Red	Red		Red	This ant-islamic site subtitle reads "It isn't Islamophobia if they really are trying to kill you". Promotes islamophobia / hate towards Muslims through stories that have little or no evidence behind them.	2
bipartisanreport.com	Red	Orange		Red	Multiple incidents of fabricated and/or severly distorted stories. Headlines likes: "BREAKING: Donald Trump Ends Campaign By FULLY Blaming Jews For Downfall"	3
blakkpepper.com	Yellow	Orange		Yellow	Health section promotes many unscientific claims (Example article: limes can help diabetes, weight loss, respiratory disorders, arthritis, eye care, piles, cholera, gout, and more). However, the site is mostly not political. NOTE: Although articles are attributed to an author, they are all by "Eli".	1
breitbart.com	Yellow	Orange	Yellow	Yellow	The site publishes stories with strong partisan agenda, potentially tactically positioned to influence current political events. It gives the stage for extreme world views, but it does not distort the facts more than minor inaccuracies. 	3
buzzfeed.com	Green	Yellow		Green	Sober and sourced news reporting (aside from entertainment part). No evidence of false information being propogated. Low quality journalism with clickbait on the entertainment sections. (Example article title: "19 Food Pictures That Will Make You Feel Really Fucking Uncomfortable: You'll never be able to unsee these", and "33 worst TV boyfriends of all time".)	1
channel-7-news.com	Red	Orange		Red	The news on this site is from 2016, no updates to be seen. High partisan clickbait (e.g. "Obama's doctor: Hillary needs to have her head examined!"; "LEAKED: Take a peek inside the Clinton campaign’s “hospital on wheels”). Snopes recognizes it as fake news site. The article provided is a hoax. Together with the misleading domain name and the ceased coverage as off Sep 13, 2016, we believe this is a classical hoax/fake site.	1
